date,site,mean_temperature,daylength
2018_11_13,treatment_1_bloc_1,19.31423611,13
2018_11_13,treatment_1_bloc_3,19.31423611,13
2018_11_13,treatment_1_bloc_8,19.31423611,13
2018_11_13,treatment_1_bloc_2,19.31423611,13
2018_11_13,treatment_1_bloc_7,19.31423611,13
2018_11_13,treatment_1_bloc_5,19.31423611,13
2018_11_13,treatment_1_bloc_4,19.31423611,13
2018_11_13,treatment_1_bloc_9,19.31423611,13
2018_11_13,treatment_1_bloc_6,19.31423611,13
2018_11_13,treatment_2_bloc_1,19.31423611,13
2018_11_13,treatment_2_bloc_3,19.31423611,13
2018_11_13,treatment_2_bloc_8,19.31423611,13
2018_11_13,treatment_2_bloc_2,19.31423611,13
2018_11_13,treatment_2_bloc_7,19.31423611,13
2018_11_13,treatment_2_bloc_5,19.31423611,13
2018_11_13,treatment_2_bloc_4,19.31423611,13
2018_11_13,treatment_2_bloc_9,19.31423611,13
2018_11_13,treatment_2_bloc_6,19.31423611,13
2018_11_13,treatment_3_bloc_1,19.31423611,13
2018_11_13,treatment_3_bloc_3,19.31423611,13
2018_11_13,treatment_3_bloc_8,19.31423611,13
2018_11_13,treatment_3_bloc_2,19.31423611,13
2018_11_13,treatment_3_bloc_7,19.31423611,13
2018_11_13,treatment_3_bloc_5,19.31423611,13
2018_11_13,treatment_3_bloc_4,19.31423611,13
2018_11_13,treatment_3_bloc_9,19.31423611,13
2018_11_13,treatment_3_bloc_6,19.31423611,13
2018_11_14,treatment_1_bloc_2,18.66319444,13
2018_11_14,treatment_1_bloc_4,18.66319444,13
2018_11_14,treatment_1_bloc_1,18.66319444,13
2018_11_14,treatment_1_bloc_6,18.66319444,13
2018_11_14,treatment_1_bloc_3,18.66319444,13
2018_11_14,treatment_1_bloc_9,18.66319444,13
2018_11_14,treatment_1_bloc_8,18.66319444,13
2018_11_14,treatment_1_bloc_7,18.66319444,13
2018_11_14,treatment_1_bloc_5,18.66319444,13
2018_11_14,treatment_2_bloc_2,18.66319444,13
2018_11_14,treatment_2_bloc_4,18.66319444,13
2018_11_14,treatment_2_bloc_1,18.66319444,13
2018_11_14,treatment_2_bloc_6,18.66319444,13
2018_11_14,treatment_2_bloc_3,18.66319444,13
2018_11_14,treatment_2_bloc_9,18.66319444,13
2018_11_14,treatment_2_bloc_8,18.66319444,13
2018_11_14,treatment_2_bloc_7,18.66319444,13
2018_11_14,treatment_2_bloc_5,18.66319444,13
2018_11_14,treatment_3_bloc_2,18.66319444,13
2018_11_14,treatment_3_bloc_4,18.66319444,13
2018_11_14,treatment_3_bloc_1,18.66319444,13
2018_11_14,treatment_3_bloc_6,18.66319444,13
2018_11_14,treatment_3_bloc_3,18.66319444,13
2018_11_14,treatment_3_bloc_9,18.66319444,13
2018_11_14,treatment_3_bloc_8,18.66319444,13
2018_11_14,treatment_3_bloc_7,18.66319444,13
2018_11_14,treatment_3_bloc_5,18.66319444,13
2018_11_15,treatment_1_bloc_4,19.05381944,13
2018_11_15,treatment_1_bloc_8,19.05381944,13
2018_11_15,treatment_1_bloc_7,19.05381944,13
2018_11_15,treatment_1_bloc_5,19.05381944,13
2018_11_15,treatment_1_bloc_6,19.05381944,13
2018_11_15,treatment_1_bloc_3,19.05381944,13
2018_11_15,treatment_1_bloc_1,19.05381944,13
2018_11_15,treatment_1_bloc_2,19.05381944,13
2018_11_15,treatment_1_bloc_9,19.05381944,13
2018_11_15,treatment_2_bloc_4,19.05381944,13
2018_11_15,treatment_2_bloc_8,19.05381944,13
2018_11_15,treatment_2_bloc_7,19.05381944,13
2018_11_15,treatment_2_bloc_5,19.05381944,13
2018_11_15,treatment_2_bloc_6,19.05381944,13
2018_11_15,treatment_2_bloc_3,19.05381944,13
2018_11_15,treatment_2_bloc_1,19.05381944,13
2018_11_15,treatment_2_bloc_2,19.05381944,13
2018_11_15,treatment_2_bloc_9,19.05381944,13
2018_11_15,treatment_3_bloc_4,19.05381944,13
2018_11_15,treatment_3_bloc_8,19.05381944,13
2018_11_15,treatment_3_bloc_7,19.05381944,13
2018_11_15,treatment_3_bloc_5,19.05381944,13
2018_11_15,treatment_3_bloc_6,19.05381944,13
2018_11_15,treatment_3_bloc_3,19.05381944,13
2018_11_15,treatment_3_bloc_1,19.05381944,13
2018_11_15,treatment_3_bloc_2,19.05381944,13
2018_11_15,treatment_3_bloc_9,19.05381944,13
2018_11_16,treatment_1_bloc_4,18.81141869,13
2018_11_16,treatment_1_bloc_1,18.81141869,13
2018_11_16,treatment_1_bloc_6,18.81141869,13
2018_11_16,treatment_1_bloc_9,18.81141869,13
2018_11_16,treatment_1_bloc_8,18.81141869,13
2018_11_16,treatment_1_bloc_3,18.81141869,13
2018_11_16,treatment_1_bloc_7,18.81141869,13
2018_11_16,treatment_1_bloc_5,18.81141869,13
2018_11_16,treatment_1_bloc_2,18.81141869,13
2018_11_16,treatment_2_bloc_4,18.81141869,13
2018_11_16,treatment_2_bloc_1,18.81141869,13
2018_11_16,treatment_2_bloc_6,18.81141869,13
2018_11_16,treatment_2_bloc_9,18.81141869,13
2018_11_16,treatment_2_bloc_8,18.81141869,13
2018_11_16,treatment_2_bloc_3,18.81141869,13
2018_11_16,treatment_2_bloc_7,18.81141869,13
2018_11_16,treatment_2_bloc_5,18.81141869,13
2018_11_16,treatment_2_bloc_2,18.81141869,13
2018_11_16,treatment_3_bloc_4,18.81141869,13
2018_11_16,treatment_3_bloc_1,18.81141869,13
2018_11_16,treatment_3_bloc_6,18.81141869,13
2018_11_16,treatment_3_bloc_9,18.81141869,13
2018_11_16,treatment_3_bloc_8,18.81141869,13
2018_11_16,treatment_3_bloc_3,18.81141869,13
2018_11_16,treatment_3_bloc_7,18.81141869,13
2018_11_16,treatment_3_bloc_5,18.81141869,13
2018_11_16,treatment_3_bloc_2,18.81141869,13
2018_11_17,treatment_1_bloc_6,14.96354167,13
2018_11_17,treatment_1_bloc_5,14.96354167,13
2018_11_17,treatment_1_bloc_4,14.96354167,13
2018_11_17,treatment_1_bloc_9,14.96354167,13
2018_11_17,treatment_1_bloc_1,14.96354167,13
2018_11_17,treatment_1_bloc_8,14.96354167,13
2018_11_17,treatment_1_bloc_3,14.96354167,13
2018_11_17,treatment_1_bloc_7,14.96354167,13
2018_11_17,treatment_1_bloc_2,14.96354167,13
2018_11_17,treatment_2_bloc_6,14.96354167,13
2018_11_17,treatment_2_bloc_5,14.96354167,13
2018_11_17,treatment_2_bloc_4,14.96354167,13
2018_11_17,treatment_2_bloc_9,14.96354167,13
2018_11_17,treatment_2_bloc_1,14.96354167,13
2018_11_17,treatment_2_bloc_8,14.96354167,13
2018_11_17,treatment_2_bloc_3,14.96354167,13
2018_11_17,treatment_2_bloc_7,14.96354167,13
2018_11_17,treatment_2_bloc_2,14.96354167,13
2018_11_17,treatment_3_bloc_6,14.96354167,13
2018_11_17,treatment_3_bloc_5,14.96354167,13
2018_11_17,treatment_3_bloc_4,14.96354167,13
2018_11_17,treatment_3_bloc_9,14.96354167,13
2018_11_17,treatment_3_bloc_1,14.96354167,13
2018_11_17,treatment_3_bloc_8,14.96354167,13
2018_11_17,treatment_3_bloc_3,14.96354167,13
2018_11_17,treatment_3_bloc_7,14.96354167,13
2018_11_17,treatment_3_bloc_2,14.96354167,13
2018_11_18,treatment_1_bloc_3,18.05555556,13
2018_11_18,treatment_1_bloc_5,18.05555556,13
2018_11_18,treatment_1_bloc_4,18.05555556,13
2018_11_18,treatment_1_bloc_8,18.05555556,13
2018_11_18,treatment_1_bloc_6,18.05555556,13
2018_11_18,treatment_1_bloc_1,18.05555556,13
2018_11_18,treatment_1_bloc_9,18.05555556,13
2018_11_18,treatment_1_bloc_2,18.05555556,13
2018_11_18,treatment_1_bloc_7,18.05555556,13
2018_11_18,treatment_2_bloc_3,18.05555556,13
2018_11_18,treatment_2_bloc_5,18.05555556,13
2018_11_18,treatment_2_bloc_4,18.05555556,13
2018_11_18,treatment_2_bloc_8,18.05555556,13
2018_11_18,treatment_2_bloc_6,18.05555556,13
2018_11_18,treatment_2_bloc_1,18.05555556,13
2018_11_18,treatment_2_bloc_9,18.05555556,13
2018_11_18,treatment_2_bloc_2,18.05555556,13
2018_11_18,treatment_2_bloc_7,18.05555556,13
2018_11_18,treatment_3_bloc_3,18.05555556,13
2018_11_18,treatment_3_bloc_5,18.05555556,13
2018_11_18,treatment_3_bloc_4,18.05555556,13
2018_11_18,treatment_3_bloc_8,18.05555556,13
2018_11_18,treatment_3_bloc_6,18.05555556,13
2018_11_18,treatment_3_bloc_1,18.05555556,13
2018_11_18,treatment_3_bloc_9,18.05555556,13
2018_11_18,treatment_3_bloc_2,18.05555556,13
2018_11_18,treatment_3_bloc_7,18.05555556,13
2018_11_19,treatment_1_bloc_9,17.27604167,13
2018_11_19,treatment_1_bloc_2,17.27604167,13
2018_11_19,treatment_1_bloc_5,17.27604167,13
2018_11_19,treatment_1_bloc_8,17.27604167,13
2018_11_19,treatment_1_bloc_7,17.27604167,13
2018_11_19,treatment_1_bloc_4,17.27604167,13
2018_11_19,treatment_1_bloc_3,17.27604167,13
2018_11_19,treatment_1_bloc_6,17.27604167,13
2018_11_19,treatment_1_bloc_1,17.27604167,13
2018_11_19,treatment_2_bloc_9,17.27604167,13
2018_11_19,treatment_2_bloc_2,17.27604167,13
2018_11_19,treatment_2_bloc_5,17.27604167,13
2018_11_19,treatment_2_bloc_8,17.27604167,13
2018_11_19,treatment_2_bloc_7,17.27604167,13
2018_11_19,treatment_2_bloc_4,17.27604167,13
2018_11_19,treatment_2_bloc_3,17.27604167,13
2018_11_19,treatment_2_bloc_6,17.27604167,13
2018_11_19,treatment_2_bloc_1,17.27604167,13
2018_11_19,treatment_3_bloc_9,17.27604167,13
2018_11_19,treatment_3_bloc_2,17.27604167,13
2018_11_19,treatment_3_bloc_5,17.27604167,13
2018_11_19,treatment_3_bloc_8,17.27604167,13
2018_11_19,treatment_3_bloc_7,17.27604167,13
2018_11_19,treatment_3_bloc_4,17.27604167,13
2018_11_19,treatment_3_bloc_3,17.27604167,13
2018_11_19,treatment_3_bloc_6,17.27604167,13
2018_11_19,treatment_3_bloc_1,17.27604167,13
2018_11_20,treatment_1_bloc_8,14.90277778,13
2018_11_20,treatment_1_bloc_2,14.90277778,13
2018_11_20,treatment_1_bloc_4,14.90277778,13
2018_11_20,treatment_1_bloc_9,14.90277778,13
2018_11_20,treatment_1_bloc_3,14.90277778,13
2018_11_20,treatment_1_bloc_5,14.90277778,13
2018_11_20,treatment_1_bloc_1,14.90277778,13
2018_11_20,treatment_1_bloc_7,14.90277778,13
2018_11_20,treatment_1_bloc_6,14.90277778,13
2018_11_20,treatment_2_bloc_8,14.90277778,13
2018_11_20,treatment_2_bloc_2,14.90277778,13
2018_11_20,treatment_2_bloc_4,14.90277778,13
2018_11_20,treatment_2_bloc_9,14.90277778,13
2018_11_20,treatment_2_bloc_3,14.90277778,13
2018_11_20,treatment_2_bloc_5,14.90277778,13
2018_11_20,treatment_2_bloc_1,14.90277778,13
2018_11_20,treatment_2_bloc_7,14.90277778,13
2018_11_20,treatment_2_bloc_6,14.90277778,13
2018_11_20,treatment_3_bloc_8,14.90277778,13
2018_11_20,treatment_3_bloc_2,14.90277778,13
2018_11_20,treatment_3_bloc_4,14.90277778,13
2018_11_20,treatment_3_bloc_9,14.90277778,13
2018_11_20,treatment_3_bloc_3,14.90277778,13
2018_11_20,treatment_3_bloc_5,14.90277778,13
2018_11_20,treatment_3_bloc_1,14.90277778,13
2018_11_20,treatment_3_bloc_7,14.90277778,13
2018_11_20,treatment_3_bloc_6,14.90277778,13
2018_11_21,treatment_1_bloc_4,17.40277778,13
2018_11_21,treatment_1_bloc_9,17.40277778,13
2018_11_21,treatment_1_bloc_5,17.40277778,13
2018_11_21,treatment_1_bloc_1,17.40277778,13
2018_11_21,treatment_1_bloc_7,17.40277778,13
2018_11_21,treatment_1_bloc_8,17.40277778,13
2018_11_21,treatment_1_bloc_3,17.40277778,13
2018_11_21,treatment_1_bloc_2,17.40277778,13
2018_11_21,treatment_1_bloc_6,17.40277778,13
2018_11_21,treatment_2_bloc_4,17.40277778,13
2018_11_21,treatment_2_bloc_9,17.40277778,13
2018_11_21,treatment_2_bloc_5,17.40277778,13
2018_11_21,treatment_2_bloc_1,17.40277778,13
2018_11_21,treatment_2_bloc_7,17.40277778,13
2018_11_21,treatment_2_bloc_8,17.40277778,13
2018_11_21,treatment_2_bloc_3,17.40277778,13
2018_11_21,treatment_2_bloc_2,17.40277778,13
2018_11_21,treatment_2_bloc_6,17.40277778,13
2018_11_21,treatment_3_bloc_4,17.40277778,13
2018_11_21,treatment_3_bloc_9,17.40277778,13
2018_11_21,treatment_3_bloc_5,17.40277778,13
2018_11_21,treatment_3_bloc_1,17.40277778,13
2018_11_21,treatment_3_bloc_7,17.40277778,13
2018_11_21,treatment_3_bloc_8,17.40277778,13
2018_11_21,treatment_3_bloc_3,17.40277778,13
2018_11_21,treatment_3_bloc_2,17.40277778,13
2018_11_21,treatment_3_bloc_6,17.40277778,13
2018_11_22,treatment_1_bloc_9,16.89756944,13
2018_11_22,treatment_1_bloc_7,16.89756944,13
2018_11_22,treatment_1_bloc_4,16.89756944,13
2018_11_22,treatment_1_bloc_3,16.89756944,13
2018_11_22,treatment_1_bloc_1,16.89756944,13
2018_11_22,treatment_1_bloc_5,16.89756944,13
2018_11_22,treatment_1_bloc_8,16.89756944,13
2018_11_22,treatment_1_bloc_2,16.89756944,13
2018_11_22,treatment_1_bloc_6,16.89756944,13
2018_11_22,treatment_2_bloc_9,16.89756944,13
2018_11_22,treatment_2_bloc_7,16.89756944,13
2018_11_22,treatment_2_bloc_4,16.89756944,13
2018_11_22,treatment_2_bloc_3,16.89756944,13
2018_11_22,treatment_2_bloc_1,16.89756944,13
2018_11_22,treatment_2_bloc_5,16.89756944,13
2018_11_22,treatment_2_bloc_8,16.89756944,13
2018_11_22,treatment_2_bloc_2,16.89756944,13
2018_11_22,treatment_2_bloc_6,16.89756944,13
2018_11_22,treatment_3_bloc_9,16.89756944,13
2018_11_22,treatment_3_bloc_7,16.89756944,13
2018_11_22,treatment_3_bloc_4,16.89756944,13
2018_11_22,treatment_3_bloc_3,16.89756944,13
2018_11_22,treatment_3_bloc_1,16.89756944,13
2018_11_22,treatment_3_bloc_5,16.89756944,13
2018_11_22,treatment_3_bloc_8,16.89756944,13
2018_11_22,treatment_3_bloc_2,16.89756944,13
2018_11_22,treatment_3_bloc_6,16.89756944,13
2018_11_23,treatment_1_bloc_1,15.26388889,13
2018_11_23,treatment_1_bloc_4,15.26388889,13
2018_11_23,treatment_1_bloc_9,15.26388889,13
2018_11_23,treatment_1_bloc_3,15.26388889,13
2018_11_23,treatment_1_bloc_6,15.26388889,13
2018_11_23,treatment_1_bloc_5,15.26388889,13
2018_11_23,treatment_1_bloc_7,15.26388889,13
2018_11_23,treatment_1_bloc_8,15.26388889,13
2018_11_23,treatment_1_bloc_2,15.26388889,13
2018_11_23,treatment_2_bloc_1,15.26388889,13
2018_11_23,treatment_2_bloc_4,15.26388889,13
2018_11_23,treatment_2_bloc_9,15.26388889,13
2018_11_23,treatment_2_bloc_3,15.26388889,13
2018_11_23,treatment_2_bloc_6,15.26388889,13
2018_11_23,treatment_2_bloc_5,15.26388889,13
2018_11_23,treatment_2_bloc_7,15.26388889,13
2018_11_23,treatment_2_bloc_8,15.26388889,13
2018_11_23,treatment_2_bloc_2,15.26388889,13
2018_11_23,treatment_3_bloc_1,15.26388889,13
2018_11_23,treatment_3_bloc_4,15.26388889,13
2018_11_23,treatment_3_bloc_9,15.26388889,13
2018_11_23,treatment_3_bloc_3,15.26388889,13
2018_11_23,treatment_3_bloc_6,15.26388889,13
2018_11_23,treatment_3_bloc_5,15.26388889,13
2018_11_23,treatment_3_bloc_7,15.26388889,13
2018_11_23,treatment_3_bloc_8,15.26388889,13
2018_11_23,treatment_3_bloc_2,15.26388889,13
2018_11_24,treatment_1_bloc_6,15.71180556,13
2018_11_24,treatment_1_bloc_4,15.71180556,13
2018_11_24,treatment_1_bloc_9,15.71180556,13
2018_11_24,treatment_1_bloc_3,15.71180556,13
2018_11_24,treatment_1_bloc_2,15.71180556,13
2018_11_24,treatment_1_bloc_5,15.71180556,13
2018_11_24,treatment_1_bloc_7,15.71180556,13
