TPS,Espacement,Densite,id plante,id talle,topologie,nb_feuille_emergees,Biomasse_feuilles_emergees,Surface_feuilles_emergees
3.0,50.0,400,1,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,2,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,3,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,4,1,"(0,)",1,0.0,4.453451233985471
4.0,50.0,400,1,1,"(0,)",1,2.005961586941385e-11,4.453451233985471
4.0,50.0,400,2,1,"(0,)",1,2.005961586941385e-11,4.453451233985471
4.0,50.0,400,3,1,"(0,)",1,2.005961586941385e-11,4.453451233985471
4.0,50.0,400,4,1,"(0,)",1,2.005961586941385e-11,4.453451233985471
5.0,50.0,400,1,1,"(0,)",1,3.578779995700582e-10,4.453451233985471
5.0,50.0,400,2,1,"(0,)",1,3.578779995700582e-10,4.453451233985471
5.0,50.0,400,3,1,"(0,)",1,3.578779995700582e-10,4.453451233985471
5.0,50.0,400,4,1,"(0,)",1,3.578779995700582e-10,4.453451233985471
6.0,50.0,400,1,1,"(0,)",1,1.9255298434883718e-09,4.453451233985471
6.0,50.0,400,2,1,"(0,)",1,1.9255298434883718e-09,4.453451233985471
6.0,50.0,400,3,1,"(0,)",1,1.9255298434883718e-09,4.453451233985471
6.0,50.0,400,4,1,"(0,)",1,1.9255298434883718e-09,4.453451233985471
7.0,50.0,400,1,1,"(0,)",1,6.341775515327289e-09,4.453451233985471
7.0,50.0,400,2,1,"(0,)",1,6.341775515327289e-09,4.453451233985471
7.0,50.0,400,3,1,"(0,)",1,6.341775515327289e-09,4.453451233985471
7.0,50.0,400,4,1,"(0,)",1,6.341775515327289e-09,4.453451233985471
8.0,50.0,400,1,1,"(0,)",1,1.5961217482906784e-08,4.453451233985471
8.0,50.0,400,2,1,"(0,)",1,1.5961217482906784e-08,4.453451233985471
8.0,50.0,400,3,1,"(0,)",1,1.5961217482906784e-08,4.453451233985471
8.0,50.0,400,4,1,"(0,)",1,1.5961217482906784e-08,4.453451233985471
9.0,50.0,400,1,1,"(0,)",1,3.388693546953377e-08,4.453451233985471
9.0,50.0,400,2,1,"(0,)",1,3.388693546953377e-08,4.453451233985471
9.0,50.0,400,3,1,"(0,)",1,3.388693546953377e-08,4.453451233985471
9.0,50.0,400,4,1,"(0,)",1,3.388693546953377e-08,4.453451233985471
10.0,50.0,400,1,1,"(0,)",1,6.397390430351677e-08,4.453451233985471
10.0,50.0,400,2,1,"(0,)",1,6.397390430351677e-08,4.453451233985471
10.0,50.0,400,3,1,"(0,)",1,6.397390430351677e-08,4.453451233985471
10.0,50.0,400,4,1,"(0,)",1,6.397390430351677e-08,4.453451233985471
11.0,50.0,400,1,1,"(0,)",1,1.1082634961917179e-07,4.453451233985471
11.0,50.0,400,2,1,"(0,)",1,1.1082634961917179e-07,4.453451233985471
11.0,50.0,400,3,1,"(0,)",1,1.1082634961917179e-07,4.453451233985471
11.0,50.0,400,4,1,"(0,)",1,1.1082634961917179e-07,4.453451233985471
12.0,50.0,400,1,1,"(0,)",1,1.7979077829424327e-07,4.453451233985471
12.0,50.0,400,2,1,"(0,)",1,1.7979077829424327e-07,4.453451233985471
12.0,50.0,400,3,1,"(0,)",1,1.7979077829424327e-07,4.453451233985471
12.0,50.0,400,4,1,"(0,)",1,1.7979077829424327e-07,4.453451233985471
13.0,50.0,400,1,1,"(0,)",1,2.7694577846084335e-07,4.453451233985471
13.0,50.0,400,2,1,"(0,)",1,2.7694577846084335e-07,4.453451233985471
13.0,50.0,400,3,1,"(0,)",1,2.7694577846084335e-07,4.453451233985471
13.0,50.0,400,4,1,"(0,)",1,2.7694577846084335e-07,4.453451233985471
14.0,50.0,400,1,1,"(0,)",1,4.0908934661221776e-07,4.453451233985471
