GDD,Date,Site,Day,Id_plante,Id_talle,Id_rang,Organ,Length
3.0,2018-11-13,treatment_1,1,0,0,1,limb,8.94899992934e-07
3.0,2018-11-13,treatment_1,1,0,0,1,sheath,2.48327850043e-08
3.0,2018-11-13,treatment_1,1,0,0,1,internode,0.0
3.0,2018-11-13,treatment_1,1,1,0,1,limb,8.94899992934e-07
3.0,2018-11-13,treatment_1,1,1,0,1,sheath,2.48327850043e-08
3.0,2018-11-13,treatment_1,1,1,0,1,internode,0.0
3.0,2018-11-13,treatment_1,1,2,0,1,limb,8.94899992934e-07
3.0,2018-11-13,treatment_1,1,2,0,1,sheath,2.48327850043e-08
3.0,2018-11-13,treatment_1,1,2,0,1,internode,0.0
3.0,2018-11-13,treatment_1,1,3,0,1,limb,8.94899992934e-07
3.0,2018-11-13,treatment_1,1,3,0,1,sheath,2.48327850043e-08
3.0,2018-11-13,treatment_1,1,3,0,1,internode,0.0
4.0,2018-11-14,treatment_1,2,0,0,1,limb,1.59656592123e-05
4.0,2018-11-14,treatment_1,2,0,0,1,sheath,4.43034736622e-07
4.0,2018-11-14,treatment_1,2,0,0,1,internode,0.0
4.0,2018-11-14,treatment_1,2,1,0,1,limb,1.59656592123e-05
4.0,2018-11-14,treatment_1,2,1,0,1,sheath,4.43034736622e-07
4.0,2018-11-14,treatment_1,2,1,0,1,internode,0.0
4.0,2018-11-14,treatment_1,2,2,0,1,limb,1.59656592123e-05
4.0,2018-11-14,treatment_1,2,2,0,1,sheath,4.43034736622e-07
4.0,2018-11-14,treatment_1,2,2,0,1,internode,0.0
4.0,2018-11-14,treatment_1,2,3,0,1,limb,1.59656592123e-05
4.0,2018-11-14,treatment_1,2,3,0,1,sheath,4.43034736622e-07
4.0,2018-11-14,treatment_1,2,3,0,1,internode,0.0
8.0,2018-11-15,treatment_1,3,0,0,1,limb,0.00151175047594
8.0,2018-11-15,treatment_1,3,0,0,1,sheath,4.19499104322e-05
8.0,2018-11-15,treatment_1,3,0,0,1,internode,0.0
8.0,2018-11-15,treatment_1,3,1,0,1,limb,0.00151175047594
8.0,2018-11-15,treatment_1,3,1,0,1,sheath,4.19499104322e-05
8.0,2018-11-15,treatment_1,3,1,0,1,internode,0.0
8.0,2018-11-15,treatment_1,3,2,0,1,limb,0.00151175047594
8.0,2018-11-15,treatment_1,3,2,0,1,sheath,4.19499104322e-05
8.0,2018-11-15,treatment_1,3,2,0,1,internode,0.0
8.0,2018-11-15,treatment_1,3,3,0,1,limb,0.00151175047594
8.0,2018-11-15,treatment_1,3,3,0,1,sheath,4.19499104322e-05
8.0,2018-11-15,treatment_1,3,3,0,1,internode,0.0
12.0,2018-11-16,treatment_1,4,0,0,1,limb,0.0123541626407
12.0,2018-11-16,treatment_1,4,0,0,1,sheath,0.000342818490544
12.0,2018-11-16,treatment_1,4,0,0,1,internode,0.0
12.0,2018-11-16,treatment_1,4,1,0,1,limb,0.0123541626407
12.0,2018-11-16,treatment_1,4,1,0,1,sheath,0.000342818490544
